Calibration metrics:
x284: Cal. error 0.2240, RMSE 0.0792, R2 0.8200
x285: Cal. error 0.2180, RMSE 0.0770, R2 0.8173
x286: Cal. error 0.2180, RMSE 0.0742, R2 0.8183
x287: Cal. error 0.1930, RMSE 0.0698, R2 0.8150
x288: Cal. error 0.2320, RMSE 0.0662, R2 0.8114
x289: Cal. error 0.2380, RMSE 0.0645, R2 0.8119
x290: Cal. error 0.2280, RMSE 0.0648, R2 0.8167
x291: Cal. error 0.2120, RMSE 0.0683, R2 0.8181
x292: Cal. error 0.2560, RMSE 0.0733, R2 0.8203
x293: Cal. error 0.2460, RMSE 0.0777, R2 0.8185
x294: Cal. error 0.2260, RMSE 0.0834, R2 0.8132
x295: Cal. error 0.2120, RMSE 0.0837, R2 0.8076
x296: Cal. error 0.2130, RMSE 0.0842, R2 0.8013
x297: Cal. error 0.1980, RMSE 0.0815, R2 0.8065
x298: Cal. error 0.1690, RMSE 0.0761, R2 0.8150
x299: Cal. error 0.1720, RMSE 0.0716, R2 0.8165
x300: Cal. error 0.1650, RMSE 0.0742, R2 0.8059
x301: Cal. error 0.1930, RMSE 0.0763, R2 0.7971
x302: Cal. error 0.1730, RMSE 0.0782, R2 0.7889
x303: Cal. error 0.1820, RMSE 0.0801, R2 0.7856
x304: Cal. error 0.1950, RMSE 0.0832, R2 0.7752
x305: Cal. error 0.2010, RMSE 0.0851, R2 0.7665
x306: Cal. error 0.2160, RMSE 0.0904, R2 0.7553
x307: Cal. error 0.2320, RMSE 0.0950, R2 0.7509
x308: Cal. error 0.2100, RMSE 0.1000, R2 0.7464
x309: Cal. error 0.2070, RMSE 0.0939, R2 0.7405
x310: Cal. error 0.2050, RMSE 0.0964, R2 0.7076
x311: Cal. error 0.2370, RMSE 0.1064, R2 0.6850
x312: Cal. error 0.2470, RMSE 0.1159, R2 0.6577
x313: Cal. error 0.2420, RMSE 0.1135, R2 0.6230
x314: Cal. error 0.2370, RMSE 0.1137, R2 0.5952
x315: Cal. error 0.2730, RMSE 0.1175, R2 0.5698
x316: Cal. error 0.2980, RMSE 0.1187, R2 0.5717
x317: Cal. error 0.2820, RMSE 0.1221, R2 0.5358
x318: Cal. error 0.2870, RMSE 0.1178, R2 0.4873
x319: Cal. error 0.2780, RMSE 0.1138, R2 0.4978
x320: Cal. error 0.2480, RMSE 0.1149, R2 0.4992
x321: Cal. error 0.2070, RMSE 0.1197, R2 0.5162
x322: Cal. error 0.2220, RMSE 0.1274, R2 0.5487
x323: Cal. error 0.1960, RMSE 0.1291, R2 0.6019
x324: Cal. error 0.2110, RMSE 0.1304, R2 0.6215
x325: Cal. error 0.2200, RMSE 0.1318, R2 0.6439
x326: Cal. error 0.1860, RMSE 0.1288, R2 0.6606
x327: Cal. error 0.1920, RMSE 0.1207, R2 0.6747
x328: Cal. error 0.1940, RMSE 0.1182, R2 0.6856
x329: Cal. error 0.2150, RMSE 0.1135, R2 0.6901
x330: Cal. error 0.2340, RMSE 0.1120, R2 0.6795
