Calibration metrics:
x425: Cal. error 0.1660, RMSE 0.0763, R2 0.8002
x426: Cal. error 0.1290, RMSE 0.0736, R2 0.7884
x427: Cal. error 0.1300, RMSE 0.0727, R2 0.7876
x428: Cal. error 0.1140, RMSE 0.0701, R2 0.8082
x429: Cal. error 0.1030, RMSE 0.0706, R2 0.8220
x430: Cal. error 0.0900, RMSE 0.0716, R2 0.8341
x431: Cal. error 0.0920, RMSE 0.0768, R2 0.8439
x432: Cal. error 0.0620, RMSE 0.0732, R2 0.8611
x433: Cal. error 0.0740, RMSE 0.0773, R2 0.8495
x434: Cal. error 0.0460, RMSE 0.0762, R2 0.8477
x435: Cal. error 0.0380, RMSE 0.0762, R2 0.8440
