Calibration metrics:
x367: Cal. error 0.1470, RMSE 0.1401, R2 0.4488
x368: Cal. error 0.1540, RMSE 0.1436, R2 0.3993
x369: Cal. error 0.1230, RMSE 0.1435, R2 0.4004
x370: Cal. error 0.1180, RMSE 0.1407, R2 0.4082
x371: Cal. error 0.1310, RMSE 0.1333, R2 0.4365
x372: Cal. error 0.1420, RMSE 0.1394, R2 0.3438
x373: Cal. error 0.1420, RMSE 0.1356, R2 0.3639
x374: Cal. error 0.1550, RMSE 0.1356, R2 0.3516
x375: Cal. error 0.1690, RMSE 0.1292, R2 0.3892
x376: Cal. error 0.1680, RMSE 0.1322, R2 0.3620
x377: Cal. error 0.1550, RMSE 0.1293, R2 0.4068
x378: Cal. error 0.1600, RMSE 0.1302, R2 0.4246
x379: Cal. error 0.1550, RMSE 0.1296, R2 0.4594
x380: Cal. error 0.1720, RMSE 0.1294, R2 0.4475
x381: Cal. error 0.1390, RMSE 0.1173, R2 0.5418
x382: Cal. error 0.2090, RMSE 0.1210, R2 0.5127
x383: Cal. error 0.2610, RMSE 0.1136, R2 0.5717
x384: Cal. error 0.2010, RMSE 0.1608, R2 0.1585
x385: Cal. error 0.1940, RMSE 0.1765, R2 0.0377
x386: Cal. error 0.1720, RMSE 0.1760, R2 0.1105
x387: Cal. error 0.1700, RMSE 0.1683, R2 0.2012
x388: Cal. error 0.1580, RMSE 0.1677, R2 0.2254
x389: Cal. error 0.1500, RMSE 0.1617, R2 0.2887
x390: Cal. error 0.1570, RMSE 0.1630, R2 0.2953
x391: Cal. error 0.1520, RMSE 0.1641, R2 0.2988
x392: Cal. error 0.1440, RMSE 0.1639, R2 0.2776
x393: Cal. error 0.1420, RMSE 0.1631, R2 0.2631
x394: Cal. error 0.1390, RMSE 0.1583, R2 0.2899
x395: Cal. error 0.1370, RMSE 0.1520, R2 0.3291
x396: Cal. error 0.1440, RMSE 0.1558, R2 0.2568
x397: Cal. error 0.1540, RMSE 0.1541, R2 0.2278
x398: Cal. error 0.1770, RMSE 0.1553, R2 0.1753
x399: Cal. error 0.1900, RMSE 0.1593, R2 0.0998
x400: Cal. error 0.1930, RMSE 0.1645, R2 0.0087
x401: Cal. error 0.2080, RMSE 0.1707, R2 -0.0974
x402: Cal. error 0.2160, RMSE 0.1708, R2 -0.1247
x403: Cal. error 0.2200, RMSE 0.1695, R2 -0.1248
x404: Cal. error 0.2400, RMSE 0.1816, R2 -0.3076
x405: Cal. error 0.2470, RMSE 0.1863, R2 -0.3776
x406: Cal. error 0.2700, RMSE 0.1904, R2 -0.4224
x407: Cal. error 0.2780, RMSE 0.1924, R2 -0.4676
x408: Cal. error 0.2880, RMSE 0.1920, R2 -0.5218
x409: Cal. error 0.2810, RMSE 0.1951, R2 -0.5822
x410: Cal. error 0.2970, RMSE 0.1974, R2 -0.5810
x411: Cal. error 0.2870, RMSE 0.1979, R2 -0.5210
x412: Cal. error 0.3070, RMSE 0.2180, R2 -0.7083
x413: Cal. error 0.2680, RMSE 0.2229, R2 -0.6044
x414: Cal. error 0.2700, RMSE 0.2352, R2 -0.5751
x415: Cal. error 0.2540, RMSE 0.2294, R2 -0.4778
x416: Cal. error 0.2410, RMSE 0.2270, R2 -0.4781
x417: Cal. error 0.2510, RMSE 0.2174, R2 -0.4154
x418: Cal. error 0.2640, RMSE 0.2170, R2 -0.4026
x419: Cal. error 0.2610, RMSE 0.2077, R2 -0.2786
x420: Cal. error 0.2740, RMSE 0.2226, R2 -0.4221
x421: Cal. error 0.2570, RMSE 0.2226, R2 -0.3524
x422: Cal. error 0.2670, RMSE 0.2279, R2 -0.3480
x423: Cal. error 0.2680, RMSE 0.2296, R2 -0.2985
x424: Cal. error 0.2600, RMSE 0.2394, R2 -0.3274
x425: Cal. error 0.2440, RMSE 0.2332, R2 -0.3118
x426: Cal. error 0.2310, RMSE 0.2308, R2 -0.3236
