Calibration metrics:
x393: Cal. error 0.3010, RMSE 0.2009, R2 -0.4511
x394: Cal. error 0.3080, RMSE 0.1981, R2 -0.4272
x395: Cal. error 0.3080, RMSE 0.1977, R2 -0.4411
x396: Cal. error 0.3230, RMSE 0.1970, R2 -0.4540
x397: Cal. error 0.3200, RMSE 0.1996, R2 -0.5143
x398: Cal. error 0.3200, RMSE 0.1981, R2 -0.5137
x399: Cal. error 0.3110, RMSE 0.1976, R2 -0.5283
x400: Cal. error 0.3140, RMSE 0.1982, R2 -0.5623
x401: Cal. error 0.3140, RMSE 0.2020, R2 -0.6432
x402: Cal. error 0.3170, RMSE 0.2001, R2 -0.6298
x403: Cal. error 0.3060, RMSE 0.1998, R2 -0.6389
x404: Cal. error 0.3060, RMSE 0.1969, R2 -0.6033
x405: Cal. error 0.3030, RMSE 0.1993, R2 -0.6488
x406: Cal. error 0.3000, RMSE 0.1984, R2 -0.6401
x407: Cal. error 0.2920, RMSE 0.1978, R2 -0.6324
x408: Cal. error 0.3100, RMSE 0.2015, R2 -0.6906
x409: Cal. error 0.3190, RMSE 0.2049, R2 -0.7440
x410: Cal. error 0.3190, RMSE 0.2069, R2 -0.7681
x411: Cal. error 0.3110, RMSE 0.2066, R2 -0.7544
x412: Cal. error 0.3070, RMSE 0.2046, R2 -0.7080
x413: Cal. error 0.3060, RMSE 0.2047, R2 -0.6936
x414: Cal. error 0.3010, RMSE 0.2036, R2 -0.6648
x415: Cal. error 0.2850, RMSE 0.2029, R2 -0.6425
x416: Cal. error 0.2970, RMSE 0.2072, R2 -0.6960
x417: Cal. error 0.2850, RMSE 0.2087, R2 -0.7100
x418: Cal. error 0.2780, RMSE 0.2101, R2 -0.7175
x419: Cal. error 0.2750, RMSE 0.2099, R2 -0.6971
x420: Cal. error 0.2830, RMSE 0.2063, R2 -0.6349
x421: Cal. error 0.2800, RMSE 0.2040, R2 -0.6108
x422: Cal. error 0.2780, RMSE 0.2041, R2 -0.5937
